Country,Alpha-2,Alpha-3,Continent,Anthem,cluster
Albania,AL,ALB,Europe,around our flag we stand united with one wish and one goal a sacred oath we bestow upon it proclaiming loyalty for our salvation from war abstains only he who a traitor is born he who is a true man is not frightened but dies a warrior to the cause with weapons in our hands abrandished we will defend our fatherland our sacred rights well not relinquish the foe has no place in our land for god himself proclaimed the nations of the earth shall wane and yet will live will thrive albania for you for you we fight o flag flag you sacred symbol upon you we now swear for albania our dear fatherland for honour and your glory brave man is named and honoured the one who sacrificed himself for the fatherland forever he will be remembered on earth and under as a saint,1
Armenia,AM,ARM,Europe,our fatherland free independent that has for centuries lived is now summoning its sons to the free independent armenia here is a flag for you my brother that i have sewn by hand over the sleepless nights and bathed in my tears look at it tricolored a valuable symbol for us let it shine against the enemy let you armenia be glorious forever death is the same everywhere a man dies but once blessed is the one that dies for the freedom of his nation,4
Austria,AT,AUT,Europe,land of mountains land by the river land of fields land of cathedrals land of hammers with a promising future home to great daughters and sons people highly gifted for beautiful arts muchpraised austria strongly feuded for fiercely hardfought for thou liest in the middle of the continent like a strong heart since the early days of the ancestors thou hast borne the burden of a high mission muchtried austria bravely towards the new ages see us striding free and faithful assiduous and full of hope unified let us in jolly choirs pledge allegiance to thee fatherland muchbeloved austria,2
Azerbaijan,AZ,AZE,Europe,azerbaijan azerbaijan the glorious fatherland of our valorous fathers we stand at the ready to die for thee we stand at the ready to shed our blood all so that we may live blissfully under thy tricolor banner all so that we may live blissfully under thy tricolor banner thousands of martyrs had died for thy cause thy sweeping plains had become fields of battle and our warriors had bravely defended thee each one a hero in the storied annals of our land thou hast now become our rosegarden our hearts we are everready to sacrifice thy neverending love for us hast earned thou a place in our hearts to uphold thy honor to keep thy flag waving to uphold thy honor the young stand at the ready the glorious fatherland the glorious fatherland azerbaijan azerbaijan azerbaijan azerbaijan,4
Belarus,BY,BLR,Europe,we belarusians are peaceful people wholeheartedly devoted to our motherland we are faithful friends growing up living in a hardworking and independent family glory to the blessed name of our land glory to the brotherly union of peoples our dearly beloved motherland may you live long and prosper belarus together with our brothers we for centuries courageously defended our homes threshold in battles for freedom and battles for our lot we have won our banners of victory glory to the blessed name of our land glory to the brotherly union of peoples our dearly beloved motherland may you live long and prosper belarus friendship of peoples is the strength of peoples and it is our sacred sunlit path proudly we fly in the clear blue skies the banner of victory the sunshines flag,3
Belgium,BE,BEL,Europe,o dear belgium o holy land of the fathers  our soul and our heart are devoted to you with blood to spill for you o fatherland we swear with one cry  you shall live so gladly bloom in beauty full into what freedom has taught you to be and evermore shall sing your sons the king the law the liberty faithful to the word that you may speak boldly for king for freedom and for law to law and king and freedom hail the king the law the liberty,1
Bosnia and Herzegovina,BA,BIH,Europe,youre the light of the soul eternal fires flame mother of ours o land of bosnia i belong to you the beautiful blue sky of herzegovina in the heart are your rivers your mountains proud and famous land of ancestors you shall live in our hearts ever more generations of yours show up as one we go into the future together,2
Bulgaria,BG,BGR,Europe,proud balkan mountains next to it the danube sparkles the sun shines over thrace and blazes over pirin dear motherland you are heaven on earth your beauty your loveliness ah they are boundless countless fighters died for our beloved people mother give us manly strength to continue their path dear motherland you are heaven on earth your beauty your loveliness ah they are boundless together bulgarian brothers moscow is with us in peace and war a great party leads our victorious society,3
Croatia,HR,HRV,Europe,our beautiful homeland oh so fearless and gracious our fathers ancient glory may you be happy forever dear you are our only glory dear you are our only one dear we love your plains dear we love your mountains drava sava keep on flowing danube do not lose your vigour deep blue sea tell the world that the croat loves his people whilst his fields are kissed by sunshine whilst his oaks are whipped by bura winds whilst his ancestors lie buried whilst his living heart beats,1
Cyprus,CY,CYP,Europe,we knew thee of old o divinely restored by the lights of thine eyes and the light of thy sword from the graves of our slain shall thy valor prevail as we greet thee again hail liberty hail,4
Czechia,CZ,CZE,Europe,where my home is where my home is water roars across the meadows pinewoods rustle among rocks the orchard is glorious with spring blossom paradise on earth it is to see and this is that beautiful land the czech land my home the czech land my home,2
Denmark,DK,DNK,Europe,there is a lovely country it stands with broad beechtrees near the salty eastern shore it bends itself in hill valley its name is old denmark and it is the hall of freya there sat in former times the armoursuited warriors rested from conflict then they went forward to the enemies injury now their bones are resting behind the mounds menhir that country is still lovely because the sea waves so blue frolic and the foliage stands so green and noble women beautiful maidens and men and brisk swains inhabit the danes islands hail king and fatherland hail every honourable citizen who works what he can our old denmark shall endure as long as the beechtree mirrors its top in the blue wave,4
Estonia,EE,EST,Europe,my fatherland my joy and happiness how beautiful you are i shall not find such ever in this huge wide world which would be so dear to me as you my fatherland you have given me birth and raised me up i shall thank you always and remain faithful to you until death to me most beloved are you my precious fatherland may god watch over you my precious fatherland let him be your defender and provide bountiful blessings for whatever you undertake my precious fatherland,3
Finland,FI,FIN,Europe,o our land finland our land of birth sound the golden word theres no valley no hill no water shore more precious than this northern homeland the dear land of our fathers our land is poor so it remains if you long for gold a stranger sure abandons it but to us the most precious land is this its wilds islands mainlands to us they are golden they are dear to us our rapids with their surges the hummings of eternal pines our starnights the summers bright all that with their pictures and songs closed to heart here with ploughs swords thoughts our fathers fought when the day hid in the clouds or shone with shines of happiness here the nation of finland the most difficult troubles they experienced this nations battles who can tell them who when a war sounded in our valleys and frost brought the pain of hunger who measured the blood and its sufferings here has its blood flown for our sake too here has it enjoyed its happiness and sighed its worries that nation to which the most ancient burden of ours was given here we have a feeling excellent and everything favourable although be it whatever luck land fatherland is what we have whats sweeter in the world and whats more precious and here is this land our eyes see it we can reach out a hand and point at water shore and say see theres our fathers dearest land if we were accompanied to glory even to golden clouds where we wouldnt cry but most important joy the soul would get to this poor home our will would be the homeland of truth and poet the land with a thousand lakes where our life gets protection you the land of memories and hopes always be content with your luck free and joyful your prosperity from its hide shall break out once yet our love it shall rise your hope joy in its brilliance and once your song the land of birth shall get the highest echo,3
France,FR,FRA,Europe,arise children of the fatherland the day of glory has arrived against us tyrannys bloody standard is raised do you hear in the countryside the roar of those ferocious soldiers theyre coming right into your arms to cut the throats of your sons your women to arms citizens form your battalions lets march lets march let an impure blood water our furrows what does this horde of slaves of traitors and conspiring kings want for whom have these vile chains these irons been long prepared frenchmen for us ah what outrage what furious action it must arouse it is to us they dare plan a return to the old slavery to arms citizens  what foreign cohorts would make the law in our homes what these mercenary phalanxes would strike down our proud warriors great god by chained hands our brows would yield under the yoke vile despots would themselves become the masters of our destinies to arms citizens  tremble tyrants and you traitors the shame of all parties tremble your parricidal schemes will finally receive their prize everyone is a soldier to combat you if they fall our young heroes will be produced anew from the ground ready to fight against you to arms citizens  frenchmen as magnanimous warriors bear or hold back your blows spare those sorry victims for regretfully arming against us but these bloodthirsty despots these accomplices of bouill all these tigers who mercilessly tear apart their mothers breast to arms citizens  sacred love of the fatherland lead support our avenging arms liberty cherished liberty fight with thy defenders under our flags may victory hurry to thy manly accents so that thy expiring enemies see thy triumph and our glory to arms citizens  we shall enter the military career when our elders are no longer there there we shall find their dust and the trace of their virtues much less keen to survive them than to share their coffins we shall have the sublime pride to avenge or follow them to arms citizens,4
Georgia,GE,GEO,Europe,my icon is my motherland and the whole world is its iconstand bright mounts and valleys are shared with god today our freedom sings to the glory of the future the dawn star rises up and shines out between the two seas so praise be to freedom to freedom be praise,1
Germany,DE,DEU,Europe,germany germany above all above all in the world when for protection and defense it always stands brotherly together from the meuse to the memel from the adige to the belt germany germany above all above all in the world german women german loyalty german wine and german song shall retain in the world their old beautiful chime and inspire us to noble deeds during all of our life german women german loyalty german wine and german song unity and justice and freedom for the german fatherland towards these let us all strive brotherly with heart and hand unity and justice and freedom are the safeguards of fortune flourish in the radiance of this fortune flourish german fatherland,3
Greece,GR,GRC,Europe,we knew thee of old o divinely restored by the lights of thine eyes and the light of thy sword from the graves of our slain shall thy valor prevail as we greet thee again hail liberty hail,4
Hungary,HU,HUN,Europe,o lord bless the nation of hungary with your grace and bounty extend over it your guarding arm during strife with its enemies long torn by ill fate bring upon it a time of relief this nation has suffered for all sins of the past and of the future you brought our ancestors up over the carpathians holy peaks by you was won a beautiful homeland for bendeguzs sons and wherever flow the rivers of the tisza and the danube rpd our heros descendants will root and bloom for us on the plains of the kuns you ripened the wheat in the grape fields of tokaj you dripped sweet nectar our flag you often planted on the wild turks earthworks and under mtys grave army whimpered viennas proud fort ah but for our sins anger gathered in your bosom and you struck with your lightning from your thundering clouds now the plundering mongols arrows you swarmed over us then the turks slave yoke we took upon our shoulders how often came from the mouths of osmans barbarian nation over the corpses of our defeated army a victory song how often did your own son agress my homeland upon your breast and you became because of your own sons your own sons funeral urn the fugitive hid and towards him the sword reached into his cave looking everywhere he could not find his home in his homeland climbs the mountain descends the valley sadness and despair his companions sea of blood beneath his feet ocean of flame above castle stood now a heap of stones happiness and joy fluttered groans of death weeping now sound in their place and ah freedom does not bloom from the blood of the dead torturous slaverys tears fall from the burning eyes of the orphans pity o lord the hungarians who are tossed by waves of danger extend over it your guarding arm on the sea of its misery long torn by ill fate bring upon it a time of relief they who have suffered for all sins of the past and of the future httpslyricstranslatecom,3
Iceland,IS,ISL,Europe,our countrys god our countrys god we worship thy name in its wonder sublime the suns of the heavens are set in thy crown by thy legions the ages of time with thee is each day as a thousand years each thousand of years but a day eternitys flowr with its homage of tears that reverently passes away icelands thousand years icelands thousand years eternitys flowr with its homage of tears that reverently passes away our god our god we bow to thee our spirits most fervent we place in thy care lord god of our fathers from age unto age we are breathing our holiest prayer we pray and we thank thee a thousand years for safely protected we stand we pray and we bring thee our homage of tears our destiny rest in thy hand icelands thousand years icelands thousand years the hoarfrost of morning which tinted those years thy sun rising high shall command our countrys god our countrys god our life is a feeble and quivering reed we perish deprived of thy spirit and light to redeem and uphold in our need inspire us at morn with thy courage and love and lead through the days of our strife at evening send peace from thy heaven above and safeguard our nation through life icelands thousand years icelands thousand years o prosper our people diminish our tears and guide in thy wisdom through life,4
Ireland,IE,IRL,Europe,well sing a song a soldiers song with cheering rousing chorus as round our blazing fires we throng the starry heavens oer us impatient for the coming fight and as we wait the mornings light here in the silence of the night well chant a soldiers song soldiers are we whose lives are pledged to ireland some have come from a land beyond the wave sworn to be free no more our ancient sireland shall shelter the despot or the slave tonight we man the gap of danger in erins cause come woe or weal mid cannons roar and rifles peal well chant a soldiers song in valley green or towering crag our fathers fought before us and conquered neath the same old flag thats proudly floating oer us were children of a fighting race that never yet has known disgrace and as we march the foe to face well chant a soldiers song soldiers are we whose lives are pledged to ireland some have come from a land beyond the wave sworn to be free no more our ancient sireland shall shelter the despot or the slave tonight we man the gap of danger in erins cause come woe or weal mid cannons roar and rifles peal well chant a soldiers song sons of the gael men of the pale the longwatched day is breaking the serried ranks of innisfail shall set the tyrant quaking our camp fires now are burning low see in the east a silvry glow out yonder waits the saxon foe so chant a soldiers song,3
